Form	Word	Scribe	Page	Grammar	Vowel	Syllable
ungefandod	fandian	Hatt1	411.2	supine	o	final
ādrūgod	drūgian	Hatt1	413.13	perf.n.nom.sg.	o	final
āpinsode	pinsian	Hatt1	413.26	pret.3.sg.ind.	o	mid
geclǣnsod	clǣnsian	Hatt1	413.31	perf.m.nom.sg.	o	final
getācnod	tācnian	Hatt1	415.13	perf.n.nom.sg.	o	final
gelīcode	līcian	Hatt1	415.16	pret.3.sg.ind.	o	mid
geloccode	loccian	Hatt1	415.18	pret.3.sg.ind.	o	mid
geunrōtsod	rōtsian	Hatt1	415.3	perf.f.acc.sg.	o	final
gecostod	costian	Hatt1	417.07	perf.n.nom.sg.	o	final
onhagode	hagian	Hatt1	417.17	pret.3.sg.ind.	o	mid
geðafode	þafian	Hatt1	417.18	pret.3.sg.ind.	o	mid
geāscod	āscian	Hatt1	417.19	supine	o	final
geðafode	þafian	Hatt1	417.29	pret.3.sg.ind.	o	mid
genēdode	nēadian	Hatt1	417.3	perf.m.nom.pl.	o	mid
gesyngoden	syngian	Hatt1	417.35	pret.3.pl.sub.	o	mid
getiohchod	teohhian	Hatt1	419.09	supine	o	final
getiohchod	teohhian	Hatt1	419.12	supine	o	final
wealwode	wealwian	Hatt1	421.08	pret.3.sg.ind.	o	mid
geclǣnsode	clǣnsian	Hatt1	421.09	pret.3.sg.ind.	o	mid
gecostod	costian	Hatt1	423.2	perf.m.nom.sg.	o	final
gecostod	costian	Hatt1	423.24	perf.m.nom.sg.	o	final
undīlegod	dīlegian	Hatt1	423.33	perf.n.nom.sg.	o	final
unðingad	þingian	Hatt1	423.35	perf.n.nom.sg.	a	final
līcode	līcian	Hatt1	425.06	pret.3.sg.ind.	o	mid
swētedon	swētian	Hatt1	425.14	pret.3.pl.ind.	e	mid
ābisegad	bisgian	Hatt1	425.16	perf.n.nom.sg.	a	final
ābisegad	bisgian	Hatt1	425.17	perf.n.nom.sg.	a	final
gewundedon	wundian	Hatt1	425.19	pret.3.pl.ind.	e	mid
syngedon	syngian	Hatt1	425.22	pret.3.pl.ind.	e	mid
geclǣnsode	clǣnsian	Hatt1	425.32	perf.m.nom.pl.	o	mid
gehālgode	hālgian	Hatt1	425.32	perf.m.nom.pl.	o	mid
gesyngade	syngian	Hatt1	425.33	pret.3.sg.ind.	a	mid
gefulwade	fulwian	Hatt1	425.35	perf.m.nom.pl.	a	mid
hrēowsodon	hrēowsian	Hatt1	425.36	pret.3.pl.sub.	o	mid
gefullwode	fulwian	Hatt1	427.01	perf.m.nom.pl.	o	mid
syngodon	syngian	Hatt1	427.3	pret.3.pl.ind.	o	mid
syngodon	syngian	Hatt1	427.32	pret.3.pl.ind.	o	mid
gemanigfalðod	fealdian	Hatt1	427.33	perf.m.nom.sg.	o	final
āgīmelēasedon	lēasian	Hatt1	429.14	pret.3.pl.ind.	e	mid
gewundad	wundian	Hatt1	431.04	perf.n.nom.sg.	a	final
gewundode	wundian	Hatt1	431.14	perf.m.nom.pl.	o	mid
gewundad	wundian	Hatt1	431.16	perf.m.nom.sg.	a	final
wundedon	wundian	Hatt1	431.16	pret.3.pl.ind.	e	mid
wilnode	wilnian	Hatt1	431.18	pret.1.sg.ind.	o	mid
gewundad	wundian	Hatt1	431.18	perf.m.nom.sg.	a	final
getācnod	tācnian	Hatt1	433.22	perf.n.nom.sg.	o	final
syngoden	syngian	Hatt1	435.02	pret.3.pl.sub.	o	mid
gegadrode	gadrian	Hatt1	437.13	perf.m.nom.pl.	o	mid
gewunode	wunian	Hatt1	437.31	pret.3.sg.ind.	o	mid
untiogoðad	teogoðian	Hatt1	439.29	perf.n.acc.sg.	a	final
getācnode	tācnian	Hatt1	439.33	perf.m.nom.pl.	o	mid
lufedon	lufian	Hatt1	441.25	pret.3.pl.ind.	e	mid
lufode	lufian	Hatt1	441.28	pret.3.sg.ind.	o	mid
plantode	plantian	Hatt1	443.01	pret.3.sg.sub.	o	mid
geðafode	þafian	Hatt1	443.09	pret.3.sg.ind.	o	mid
wilnodon	wilnian	Hatt1	443.13	pret.3.pl.ind.	o	mid
andswarode	swarian	Hatt1	443.15	pret.3.sg.ind.	o	mid
gefullwade	fulwian	Hatt1	443.16	perf.m.nom.pl.	a	mid
āscode	āscian	Hatt1	443.22	pret.3.sg.ind.	o	mid
ðrēade	þrēagan	Hatt1	443.27	pret.3.sg.ind.	contracted	mid
wilnode	wilnian	Hatt1	443.31	pret.3.sg.ind.	o	mid
getiohchod	teohhian	Hatt1	445.06	perf.n.acc.pl.	o	final
teladon	tilian	Hatt1	449.24	pret.3.pl.ind.	a	mid
getācnode	tācnian	Hatt1	451.1	pret.3.sg.ind.	o	mid
ārāsod	rāsian	Hatt1	451.19	perf.m.nom.sg.	o	final
wilnode	wilnian	Hatt1	451.21	pret.3.sg.ind.	o	mid
bisneden	bisenian	Hatt1	451.3	pret.3.pl.sub.	e	mid
geðrōwade	þrōwian	Hatt1	451.34	pret.3.sg.ind.	a	mid
unmīdlode	mīdlian	Hatt1	453.21	perf.m.nom.pl.	o	mid
wilnode	wilnian	Hatt1	457.32	pret.3.sg.sub.	o	mid
geðafode	þafian	Hatt1	459.01	pret.3.sg.ind.	o	mid
getācnod	tācnian	Hatt1	459.13	perf.n.nom.sg.	o	final
forgīemelēasode	lēasian	Hatt1	459.23	pret.3.sg.sub.	o	mid
geniððrad	niðerian	Hatt1	463.22	perf.m.nom.sg.	a	final
ofermōdgede	mōdigan	Hatt1	463.24	pret.3.sg.ind.	e	mid
geðafode	þafian	Hatt1	465.05	pret.3.sg.ind.	o	mid
getiohhod	teohhian	Hatt1	465.24	supine	o	final
geēowad	ēowian	Hatt1	465.34	perf.n.nom.pl.	a	final
manode	manian	Hatt1	465.35	pret.3.sg.sub.	o	mid
forgīemelēasodon	lēasian	Hatt1	467.08	pret.1.pl.ind.	o	mid
gehefegad	hefegian	Hatt1	467.26	perf.f.nom.sg.	a	final
