Form	Word	Scribe	Page	Grammar	Vowel	Syllable
geclǣnsad	clǣnsian	Hatt1	75.22	perf.f.nom.sg.	a	final
geclǣnsode	clǣnsian	Hatt1	77.06	perf.m.nom.pl.	o	mid
gefrætwod	frætwian	Hatt1	83.1	perf.m.nom.sg.	o	final
gewǣpnode	wǣpnian	Hatt1	83.12	perf.m.nom.pl.	o	mid
gerēnod	rēnian	Hatt1	83.24	perf.n.nom.sg.	o	final
getācnod	tācnian	Hatt1	83.25	perf.n.nom.sg.	o	final
geweorðode	weorðian	Hatt1	85.24	perf.m.nom.pl.	o	mid
gestrangod	strangian	Hatt1	85.24	perf.m.nom.sg.	o	final
gewlitegode	wlitigian	Hatt1	87.04	perf.m.nom.pl.	o	mid
getācnod	tācnian	Hatt1	87.2	perf.n.nom.sg.	o	final
gefæsðnod	fæstnian	Hatt1	87.22	perf.n.nom.sg.	o	final
ungemetgode	metgian	Hatt1	89.09	perf.f.nom.sg.weak	o	mid
wītgodan	wītegian	Hatt1	91.03	pret.3.pl.ind.	o	mid
myndgode	myndgian	Hatt1	91.18	pret.3.sg.ind.	o	mid
getācnod	tācnian	Hatt1	93.23	perf.n.nom.sg.	o	final
getācnod	tācnian	Hatt1	95.04	perf.n.nom.sg.	o	final
cleopade	clipian	Hatt1	95.1	pret.3.sg.ind.	a	mid
ðrōwude	þrōwian	Hatt1	95.24	pret.3.sg.sub.	u	mid
manode	manian	Hatt1	97.12	pret.3.sg.ind.	o	mid
stihtode	stihtian	Hatt1	99.11	pret.3.sg.ind.	o	mid
geimpod	impian	Hatt1	99.18	perf.m.nom.sg.	o	final
gedafonode	dafenian	Hatt1	99.2	pret.3.sg.ind.	o	mid
geuntrumod	trumian	Hatt1	101.03	perf.m.nom.sg.	o	final
geuntrumod	trumian	Hatt1	101.03	perf.m.nom.sg.	o	final
geuntrumod	trumian	Hatt1	101.04	perf.m.nom.sg.	o	final
geleornode	leornian	Hatt1	101.09	pret.3.sg.ind.	o	mid
